col1,col2
4EBP1,0.012244897959183675
AKT1,0.06326530612244899
CCND1,0.0489795918367347
EIF4E,0.018367346938775512
MAPK14,0.0673469387755102
PTEN,0.04489795918367347
TFDP1,0.006122448979591837
14-3-3-zeta,0.022448979591836737
CDC25A,0.06326530612244899
CDC25B,0.010204081632653062
CSNK1A1,0.018367346938775512
CTNNB1,0.08979591836734695
FOXO4,0.018367346938775512
KRT18,0.0326530612244898
PIK3R1,0.022448979591836737
PRKCA,0.07142857142857144
RAF1,0.11836734693877551
RAN,0.06122448979591837
A20,0.0020408163265306124
G3BP2,0.014285714285714287
ABIN2,0.018367346938775512
FLNA,0.0163265306122449
IKBKG,0.05306122448979592
LYN,0.12448979591836735
NFKB1,0.05714285714285715
RELA,0.11020408163265308
RIPK1,0.06122448979591837
STK11,0.00816326530612245
TAB2,0.0326530612244898
TRAF2,0.06122448979591837
ABL1,0.10612244897959185
APP,0.02653061224489796
BCAR1,0.08979591836734695
CCNA2,0.03877551020408164
CDC42,0.05918367346938776
CRK,0.06122448979591837
CRKL,0.10408163265306124
DOK1,0.04693877551020409
FOS,0.07959183673469389
FYN,0.18571428571428572
GRB2,0.12448979591836735
MYC,0.04693877551020409
NUP214,0.018367346938775512
PLCG1,0.0489795918367347
PLSCR1,0.004081632653061225
SHC1,0.0489795918367347
SRC,0.12448979591836735
TP53,0.07755102040816328
YAP1,0.004081632653061225
ADAM10,0.02653061224489796
CD44,0.030612244897959186
CDH1,0.010204081632653062
EGFR,0.11020408163265308
FHL2,0.036734693877551024
FURIN,0.0020408163265306124
JAG1,0.014285714285714287
NOTCH2,0.04489795918367347
NOTCH3,0.02653061224489796
PSEN1,0.05918367346938776
ADD1,0.0326530612244898
CSK,0.11836734693877551
CSNK1E,0.02448979591836735
FGR,0.10612244897959185
HIPK2,0.0163265306122449
JAK1,0.08775510204081634
JAK2,0.1653061224489796
PKN2,0.020408163265306124
PRKCZ,0.06122448979591837
TBK1,0.014285714285714287
AES,0.020408163265306124
CREBBP,0.16938775510204082
CTBP1,0.04285714285714286
HDAC1,0.12040816326530614
LEF1,0.020408163265306124
PRMT1,0.006122448979591837
TLE1,0.0020408163265306124
AIP4,0.022448979591836737
ARRB1,0.00816326530612245
ARRB2,0.022448979591836737
HGS,0.05306122448979592
JUNB,0.04081632653061225
KIT,0.1163265306122449
MET,0.07142857142857144
NUMB,0.006122448979591837
SH3GL2,0.014285714285714287
SMAD3,0.1653061224489796
CDC23,0.03877551020408164
NRAS,0.07551020408163266
STAT3,0.12040816326530614
STAT5B,0.12653061224489798
ANAPC4,0.02448979591836735
ANAPC5,0.012244897959183675
CCNB1,0.05918367346938776
CDC16,0.030612244897959186
CDC27,0.006122448979591837
FZR1,0.028571428571428574
PSMB5,0.00816326530612245
PSMC2,0.03469387755102041
PSMC3,0.020408163265306124
PSMD1,0.022448979591836737
PSMD12,0.03877551020408164
PSMD13,0.022448979591836737
SMAD2,0.17142857142857143
TGFB1,0.04489795918367347
AP2,0.0020408163265306124
APC,0.05714285714285715
APH1A,0.022448979591836737
PSEN2,0.02448979591836735
APH2,0.0163265306122449
PRKCG,0.07142857142857144
APS,0.07142857142857144
CAMK2G,0.006122448979591837
CASP3,0.0816326530612245
CAV1,0.03877551020408164
CBLB,0.0836734693877551
EPOR,0.04693877551020409
ERBB2,0.0836734693877551
GRB10,0.0653061224489796
ITGB4,0.022448979591836737
NCK2,0.0653061224489796
PIK3R2,0.0816326530612245
PTK2,0.06326530612244899
STAT1,0.15918367346938778
STAT2,0.05102040816326531
WASL,0.08571428571428572
ARA54,0.0163265306122449
NCOA3,0.04489795918367347
NCOR1,0.02653061224489796
PIAS1,0.028571428571428574
SVIL,0.022448979591836737
UBE2D1,0.00816326530612245
UBE2L3,0.010204081632653062
ARA55,0.036734693877551024
GIT1,0.02448979591836735
PAK1,0.036734693877551024
PTPN12,0.0326530612244898
PXN,0.010204081632653062
RHOA,0.030612244897959186
TGFBR2,0.02448979591836735
TRAF4,0.004081632653061225
ARA70,0.012244897959183675
HRAS,0.02653061224489796
ARAF1,0.014285714285714287
PRKCB,0.03469387755102041
PRKCD,0.014285714285714287
ARF4,0.004081632653061225
PLD2,0.03469387755102041
ARNIP,0.0163265306122449
DVL3,0.022448979591836737
ASCL1,0.004081632653061225
HEY1,0.006122448979591837
ATF1,0.0326530612244898
CAPN3,0.006122448979591837
HDAC2,0.07142857142857144
KPNA2,0.05714285714285715
TCF3,0.06938775510204082
YY1,0.0163265306122449
ATF3,0.006122448979591837
AXAM2,0.022448979591836737
AXIN1,0.0326530612244898
DVL1,0.03469387755102041
DVL2,0.018367346938775512
KPNB1,0.036734693877551024
NUP153,0.04081632653061225
PML,0.012244897959183675
SUMO1,0.02448979591836735
SUMO2,0.018367346938775512
JUP,0.04081632653061225
SMURF2,0.022448979591836737
BAG1,0.006122448979591837
HSPA8,0.04489795918367347
CASP8,0.03877551020408164
CDC2,0.018367346938775512
EPS15,0.03469387755102041
IQGAP2,0.018367346938775512
SNX2,0.010204081632653062
BCL3,0.010204081632653062
RELB,0.04285714285714286
BCL7A,0.00816326530612245
PDCD2,0.0020408163265306124
BP75,0.0020408163265306124
TBP,0.028571428571428574
BPAG1,0.00816326530612245
HDAC6,0.018367346938775512
BPAG2,0.012244897959183675
CD151,0.0020408163265306124
CTNND1,0.006122448979591837
ITGA6,0.006122448979591837
BRCA1,0.06938775510204082
CCNB2,0.04489795918367347
CDK4,0.03877551020408164
BTRC2,0.02448979591836735
BTRC,0.012244897959183675
