From	To
CK2A1	DVL3
CK2A1	59
CK2A1	72
CK2A1	HDAC2
CK2A1	MYC
CK2A1	PLD2
CK2A1	RBBP7
CK2A1	129
CK2A2	26
CK2A2	42
CK2A2	47
CK2A2	DVL2
CK2A2	DVL3
CK2A2	59
CK2A2	72
CK2A2	MYC
CK2A2	PIN1
CK2A2	129
34	38
34	39
34	CSNK1E
34	54
34	GSK3B
34	MTIF2
35	EPS15
35	72
35	HDAC2
35	75
35	KRT18
35	NUP153
35	105
35	146
35	WASL
COPS3	COPS5
COPS3	PSMD4
COPS3	SMAD1
COPS5	146
36	37
36	ERBB2
36	62
36	71
36	JAK1
36	LYN
36	MET
36	121
36	SRC
36	STAT1
36	160
CRKL	27
CRKL	37
CRKL	CSNK1E
CRKL	51
CRKL	62
CRKL	68
CRKL	GRB10
CRKL	71
CRKL	JAK1
CRKL	LYN
CRKL	MET
CRKL	NCK2
CRKL	PIK3R2
CRKL	PPP2CA
CRKL	PRKCA
CRKL	121
CRKL	122
CRKL	RAC1
CRKL	146
CRKL	158
CRKL	SRC
CRKL	STAT1
CRKL	159
CRKL	160
CRKL	161
CRKL	TRAF2
CRKL	WASL
CRM1	APC
CRM1	22
CRM1	36
CRM1	42
CRM1	72
CRM1	99
CRM1	NUP153
CRM1	126
CRM1	129
CRM1	STAT1
CRM1	TP53
37	3
37	40
37	44
37	51
37	62
37	GRB10
37	71
37	HD
37	JAK1
37	88
37	LYN
37	MET
37	NCK2
37	107
37	PIK3R2
37	PLD2
37	113
37	PRKCA
37	121
37	144
37	SMAD1
37	146
37	SRC
37	STAT1
37	159
37	160
37	161
39	38
39	DVL2
39	DVL3
39	IKBKAP
CSNK1E	APC
CSNK1E	EPS15
CSNK1E	62
CSNK1E	IKBKAP
CSNK1E	161
40	46
40	ETS1
40	HD
40	72
40	NCOA3
40	107
40	129
40	SPEN
40	STAT1
40	159
41	72
41	HDAC2
CTCF	SP1
42	APC
42	62
42	72
42	HDAC2
42	NOTCH2
42	SMAD1
42	146
CUL1	BTRC
CUL1	CDK2
CUL1	29
CUL1	COPS5
CUL1	42
CUL1	FBXW7
CUL1	FZR1
CUL1	99
CUL1	PSMD7
CUL1	128
CUL1	SKP1
CUL1	SKP2
CUL1	146
44	62
44	LYN
44	PIK3R2
44	SMAD1
44	146
44	STAT1
44	167
44	WASL
45	FADD
45	111
46	FADD
46	72
46	88
46	RIPK1
46	146
46	SP1
46	STAT1
DDEF1	ARF4
DDEF1	CBL
DDEF1	CBLB
DDEF1	36
DDEF1	71
DDEF1	121
DDEF1	PXN
DDEF1	SRC
DDX3	CCNA2
DDX3	G3BP2
DDX3	GSK3B
DDX3	SP1
47	APC
47	14
47	CSNK1E
47	42
47	43
47	DVL2
47	DVL3
47	FZD1
47	63
47	64
47	65
47	FZD7
47	GSK3B
47	NOTCH2
47	RAC1
47	188
DVL2	38
DVL2	DVL3
DVL3	38
DVL3	146
DYRK1A	75
DYRK1A	SMAD1
DYRK1A	146
DYRK1A	167
E2F5	CCNA2
E2F5	E2F4
E2F5	148
E2F5	159
E2F5	TP53
E3B1	3
E3B1	5
E3B1	27
E3B1	36
E3B1	52
E3B1	LYN
E3B1	MYC
E3B1	RAC1
E3B1	SRC
E3B1	WASL
48	ERBB2
48	HDAC2
48	89
48	PAK1
48	PRKCA
48	134
48	135
48	136
EF1A	BAD
EF1A	UBE3A
49	PPP2CA
49	118
49	148
50	CD44
50	SMAD1
50	SP1
50	167
50	TGFB3
50	169
51	3
51	62
51	71
51	JAK1
51	LYN
51	PIK3R2
51	SRC
51	STAT1
51	160
51	161
51	WASL
EPS15	ERBB2
EPS15	71
EPS15	75
EPS15	136
ERBB2	3
ERBB2	APC
ERBB2	62
ERBB2	GRB10
ERBB2	71
ERBB2	75
ERBB2	KRT18
ERBB2	KRT8
ERBB2	LYN
ERBB2	MET
ERBB2	NCK2
ERBB2	PIK3R2
ERBB2	PLD2
ERBB2	PRKCA
ERBB2	121
ERBB2	RIPK1
ERBB2	144
ERBB2	SRC
ERBB2	STAT1
ERBB2	160
ERBB2	161
ERBB2	WASL
53	5
53	14
53	BAD
53	CBL
53	CD44
53	CDK2
53	28
53	COPS3
53	CRKL
53	37
53	42
53	DYRK1A
53	51
53	ETS1
53	59
53	62
53	GRB10
53	72
53	75
53	78
53	79
53	JAK1
53	85
53	KRT18
53	LYN
53	NCK2
53	NCOA3
53	NUP153
53	PCAF
53	PIK3R2
53	PPP2CA
53	112
53	PRKCA
53	PRKCI
53	126
53	RBL2
53	129
53	RIPK1
53	143
53	144
53	146
53	148
53	SP1
53	SRC
53	STAT1
53	160
53	161
53	TP53
53	185
53	WASL
ERK2	5
ERK2	CBL
ERK2	CBLB
ERK2	CDK2
ERK2	CRKL
ERK2	51
ERK2	62
ERK2	71
ERK2	72
ERK2	JAK1
ERK2	85
ERK2	PRKCI
ERK2	PSMD4
ERK2	SMAD1
ERK2	146
ERK2	STAT1
ERK2	159
ERK2	160
ERK2	161
ERK2	TP53
ERM	23
ERM	109
ERM	112
ERM	PRKCA
ETS1	59
ETS1	72
ETS1	85
ETS1	88
ETS1	RBL2
ETS1	SMAD1
ETS1	146
ETS1	STAT1
ETS1	160
FADD	62
FADD	78
FADD	KRT18
FADD	NFKB2
FADD	RIPK1
FADD	160
FADD	161
54	72
54	HDAC2
FANCD2	NCOA3
FANCD2	TP53
55	83
55	114
55	120
FBXW7	128
FHL2	23
FHL2	42
FHL2	HIPK2
FHL2	99
FHL2	121
FHL2	146
FHL2	TP53
56	22
56	62
57	49
57	FZR1
57	146
58	62
58	NOTCH2
59	72
59	HDAC2
59	85
59	NCOA3
59	PRKCA
59	129
59	RIPK1
59	SMAD1
59	146
59	SP1
59	STAT1
59	160
59	161
59	185
60	APC
60	88
60	PIAS1
60	SMAD1
60	146
60	STAT1
62	APC
62	27
62	69
62	GRB10
62	71
62	HD
62	HES1
62	78
62	JAK1
62	KRT18
62	LYN
62	MET
62	NCK2
62	PIK3R2
62	109
62	PPP2CA
62	PRKCA
62	121
62	122
62	RAC1
62	129
62	136
62	144
62	158
62	SRC
62	STAT1
62	159
62	160
62	161
62	167
62	169
62	186
62	WASL
FZD1	188
63	188
FZR1	CDC25C
FZR1	80
G3BP2	129
G3BP2	136
66	APP
66	MYC
66	PLD2
67	HIP1
67	MYC
67	123
GIPC	5
GIPC	35
GIPC	44
GIPC	50
GIPC	FZD1
GIPC	ITGA6
GIPC	PRKCA
GIPC	RAC1
68	71
68	90
68	MCM7
68	NUP153
69	LYN
GP130	ERBB2
GP130	62
GP130	JAK1
GP130	LYN
GP130	STAT1
GP130	161
71	27
71	GRB10
71	JAK1
71	LYN
71	MET
71	NCK2
71	PIK3R2
71	PRKCA
71	PRKCI
71	121
71	122
71	RAC1
71	RANBP9
71	129
71	144
71	SRC
71	STAT1
71	159
71	160
71	161
71	WASL
GRB10	3
GRB10	JAK1
GRB10	LYN
GRB10	MET
GRB10	NCK2
GRB10	PIK3R2
GRB10	121
GRB10	SRC
GRB10	STAT1
GRB10	160
GRB10	161
GRIM19	160
HAT1	RBBP7
HBO1	E2F4
HBO1	73
HBO1	148
HD	72
HD	88
HD	146
HD	STAT1
HD	WASL
72	APC
72	HDAC2
72	73
72	88
72	98
72	105
72	111
72	129
72	146
72	150
72	SP1
72	SPEN
72	STAT1
72	159
72	161
72	TP53
72	YY1
HDAC2	MAPK14
HDAC2	94
HDAC2	MCM7
HDAC2	129
HDAC2	SP1
HDAC2	STAT1
HDAC2	159
HDAC2	161
HDAC2	TP53
73	83
HES1	ID1
HES1	79
HES1	80
HES1	ID4
HES1	85
HES1	LYN
HES1	MYC
HES1	NCOA3
HES1	STAT1
HES1	161
HES1	TCF12
75	JAK1
75	90
75	112
75	126
75	SMAD1
75	146
75	154
75	STK11
HIP1	3
HIP1	35
HIP1	36
HIP1	EPS15
HIP1	SRC
HIP1	WASL
HIPK2	146
HIPK2	SUMO2
76	7
76	CBL
76	26
76	COPS3
76	37
76	72
76	HDAC2
76	78
76	MAPK14
76	NUP153
76	129
76	STAT1
76	161
76	162
76	163
76	SUMO2
77	8
77	78
77	KPNA6
77	MAPK14
77	NUP153
77	RUVBL1
77	163
78	APC
78	35
78	LYN
78	NUP153
78	PRKCI
78	126
78	STAT1
78	161
78	162
78	WASL
ID1	79
ID1	80
ID1	ID4
79	80
79	MITF
79	MYC
79	NCOA3
80	ID4
80	MITF
80	MYC
80	NCOA3
80	TCF12
ID4	TCF12
81	19
81	54
81	59
81	62
81	72
81	HDAC2
81	88
81	PCAF
81	PPP2CA
81	112
81	129
81	SP1
81	STAT1
81	160
81	161
IKBKAP	38
IKKB	37
IKKB	40
IKKB	88
IKKB	129
IKKB	146
IKKB	STAT1
83	POLR1B
83	135
83	136
83	187
JAK1	3
JAK1	LYN
JAK1	MET
JAK1	NCK2
JAK1	PIK3R2
JAK1	121
JAK1	122
JAK1	144
JAK1	SRC
JAK1	STAT1
JAK1	159
JAK1	160
JAK1	161
JAK1	WASL
JNK1	59
JNK1	SMAD1
JNK1	146
JNK1	STAT1
JNK1	161
85	GSK3B
85	MITF
85	112
85	129
85	SMAD1
85	146
85	STAT1
88	APC
88	KPNA6
88	90
88	NCOA3
88	NUP153
88	PCAF
88	107
88	126
88	129
88	146
88	SPEN
88	STAT1
88	159
88	TP53
88	185
89	KPNA6
89	126
KPNA6	8
KPNA6	90
KPNA6	126
KPNA6	SNIP1
KPNA6	161
KPNA6	TP53
90	3
90	LAMR1
90	NUP153
90	126
90	135
90	149
90	STAT1
90	TRAF2
KRT8	KRT18
KRT17	KRT18
KRT17	SFN
KRT18	RIPK1
LAMR1	NCOA3
LAMR1	PSMC2
LAMR1	126
LAMR1	135
LAMR1	136
LAMR1	146
LAMR1	TP53
LYN	3
LYN	MET
LYN	NCK2
LYN	107
LYN	PIK3R2
LYN	PLD2
LYN	PRKCA
LYN	121
LYN	122
LYN	144
LYN	158
LYN	SRC
LYN	STAT1
LYN	159
LYN	160
LYN	161
LYN	167
LYN	169
92	23
92	42
92	HES1
92	NOTCH2
92	102
92	PIAS1
92	155
92	TP53
MAP1B	PLD2
93	27
93	47
93	58
93	PRKCA
93	PRKCB
93	RAC1
MAPK14	ATF2
MAPK14	27
MAPK14	KRT8
MAPK14	MITF
MAPK14	NCOA3
MAPK14	99
MAPK14	RAC1
MAPK14	129
MAPK14	144
MAPK14	146
MAPK14	STAT1
MAPK14	160
MAPK14	TAB2
MAPK14	TP53
94	MCM7
94	STAT1
94	TFDP1
MCM7	TFDP1
MCM7	TRAF2
MEK1	5
MEK1	27
MEK1	HES1
MEK1	MAPK14
MEK1	146
MEK1	188
MEK2	MAPK14
MEK3	ATF2
MEK3	93
MEK3	MAPK14
MEK3	99
MEK3	109
MEK3	RAC1
MEK3	RIPK1
MEK3	TAB2
MEK3	TP53
MET	3
MET	APC
MET	NCK2
MET	PIK3R2
MET	126
MET	144
MET	SRC
MET	STAT1
MET	160
MET	161
MET	WASL
MIG6	134
MIG6	135
MIG6	RPL6
MIG6	136
MIG6	RPS11
MIG6	UXT
MITF	MYC
MITF	NCOA3
MKP1	59
MKP1	85
MKP1	MAPK14
MKP1	99
MKP1	RAC1
MKP1	SKP2
MKP1	TP53
MYC	NCOA3
NCK2	3
NCK2	PIK3R2
NCK2	121
NCK2	SMAD1
NCK2	146
NCK2	SRC
NCK2	STAT1
NCK2	160
NCK2	161
NCK2	167
NCK2	WASL
NFKB2	5
NFKB2	APP
NFKB2	BTRC
NFKB2	23
NFKB2	99
NFKB2	129
NFKB2	SP1
NFKB2	TRAF2
NGAP	5
NGAP	CAV2
NGAP	CDK7
NGAP	44
NGAP	HRAS
NGAP	NFKB2
100	5
100	CASP2
100	FADD
100	78
100	99
100	NFKB2
100	129
100	RIPK1
100	SP1
100	TP53
100	TRAF2
NKIRAS1	5
NKIRAS1	99
NKIRAS1	NFKB2
NKIRAS1	129
NKIRAS1	TRAF2
NOTCH2	102
NOTCH2	146
103	BAG1
103	17
103	59
103	HDAC2
103	73
103	NCOA3
103	98
103	99
103	129
103	148
103	SP1
103	160
103	161
103	TP53
NSMAF	GRB10
NSMAF	93
NSMAF	TRAF2
NUP153	EPS15
NUP153	ERBB2
NUP153	RANBP9
