From	To
69	45
69	67
69	76
69	HDAC1
69	170
69	181
69	222
69	230
69	269
69	282
70	ABL1
70	73
70	81
70	EPOR
70	110
70	GRB10
70	117
70	HD
70	140
70	144
70	LYN
70	MET
70	NCK2
70	PIK3CD
70	191
70	PLD2
70	200
70	PRKCA
70	211
70	247
70	SMAD1
70	SMAD3
70	SRC
70	269
70	STAT2
70	270
70	STAT5B
71	CSNK1A1
71	DVL2
71	DVL3
71	134
72	14
72	EPS15
72	110
72	134
72	STAT5B
73	82
73	99
73	HD
73	HDAC1
73	NCOA3
73	PIK3CD
73	230
73	268
73	269
73	STAT2
74	HDAC1
74	122
75	267
76	14
76	110
76	HDAC1
76	122
76	175
76	SMAD1
76	SMAD3
78	34
78	54
78	58
78	COPS5
78	76
78	102
78	FZR1
78	170
78	210
78	229
78	251
78	252
78	SMAD3
81	110
81	LYN
81	191
81	SMAD1
81	SMAD3
81	269
81	TGFB1
81	298
DAP	FADD
DAP	PML
82	FADD
82	HDAC1
82	144
82	RIPK1
82	SMAD3
82	267
82	269
84	24
84	CBL
84	43
84	67
84	117
84	211
84	213
84	SRC
85	44
85	113
85	119
85	267
DVL1	14
DVL1	ARRB2
DVL1	72
DVL1	76
DVL1	77
DVL1	DVL2
DVL1	DVL3
DVL1	FZD1
DVL1	FZD4
DVL1	FZD5
DVL1	111
DVL1	112
DVL1	119
DVL1	175
DVL1	217
DVL1	WNT5A
DVL2	CSNK1A1
DVL2	DVL3
DVL3	CSNK1A1
DVL3	SMAD3
DYRK1A	HGS
DYRK1A	SMAD1
DYRK1A	SMAD3
DYRK1A	TGFB1
E2F5	44
E2F5	87
E2F5	255
E2F5	STAT2
E2F5	282
88	ABL1
88	7
88	52
88	67
88	96
88	LYN
88	166
88	217
88	SRC
88	298
89	ERBB2
89	122
89	145
89	PAK1
89	PRKCA
89	238
89	239
89	241
90	29
90	293
92	199
92	207
92	255
95	47
95	SMAD1
95	267
95	TGFB1
95	TGFB3
95	278
EPOR	ABL1
EPOR	110
EPOR	117
EPOR	140
EPOR	LYN
EPOR	191
EPOR	SRC
EPOR	269
EPOR	270
EPOR	STAT5B
EPOR	298
EPS15	ERBB2
EPS15	117
EPS15	HGS
EPS15	241
ERBB2	ABL1
ERBB2	14
ERBB2	110
ERBB2	GRB10
ERBB2	117
ERBB2	HGS
ERBB2	148
ERBB2	150
ERBB2	LYN
ERBB2	MET
ERBB2	NCK2
ERBB2	191
ERBB2	PLD2
ERBB2	PRKCA
ERBB2	211
ERBB2	RIPK1
ERBB2	247
ERBB2	SRC
ERBB2	269
ERBB2	270
ERBB2	STAT5B
ERBB2	298
ERK1	7
ERK1	ARRB2
ERK1	29
ERK1	CBL
ERK1	47
ERK1	54
ERK1	CDK4
ERK1	COPS3
ERK1	68
ERK1	70
ERK1	76
ERK1	DYRK1A
ERK1	EPOR
ERK1	99
ERK1	106
ERK1	110
ERK1	GRB10
ERK1	HDAC1
ERK1	HGS
ERK1	128
ERK1	130
ERK1	140
ERK1	142
ERK1	148
ERK1	LYN
ERK1	NCK2
ERK1	NCOA3
ERK1	181
ERK1	PCAF
ERK1	191
ERK1	199
ERK1	PRKACA
ERK1	PRKCA
ERK1	201
ERK1	222
ERK1	227
ERK1	230
ERK1	RIPK1
ERK1	SF1
ERK1	247
ERK1	SMAD3
ERK1	255
ERK1	267
ERK1	SRC
ERK1	269
ERK1	270
ERK1	STAT5B
ERK1	282
ERK1	VDR
ERK1	298
97	7
97	CBL
97	43
97	54
97	68
97	EPOR
97	110
97	117
97	HDAC1
97	140
97	142
97	201
97	PSMD4
97	SMAD1
97	SMAD3
97	269
97	STAT2
97	270
97	STAT5B
97	282
ERM	CCND1
ERM	PKN1
ERM	PRKACA
ERM	PRKCA
99	106
99	HDAC1
99	142
99	144
99	227
99	SMAD1
99	SMAD3
99	269
99	270
FADD	110
FADD	128
FADD	148
FADD	NFKB2
FADD	RIPK1
FADD	270
FADD	STAT5B
FAF1	HDAC1
FAF1	122
100	NCOA3
100	282
101	137
101	PRMT1
101	PSMD3
102	229
FHL2	CCND1
FHL2	76
FHL2	HIPK2
FHL2	170
FHL2	211
FHL2	SMAD3
FHL2	282
105	45
105	110
FKBP51	92
FKBP51	FZR1
FKBP51	SMAD3
FLNA	110
FLNA	175
106	HDAC1
106	122
106	142
106	NCOA3
106	PRKCA
106	230
106	RIPK1
106	SMAD1
106	SMAD3
106	267
106	269
106	270
106	STAT5B
106	VDR
108	14
108	144
108	189
108	SMAD1
108	SMAD3
108	269
110	14
110	52
110	GJA1
110	GRB10
110	117
110	HD
110	124
110	128
110	140
110	148
110	LYN
110	MET
110	NCK2
110	191
110	PKN1
110	199
110	PRKCA
110	211
110	212
110	217
110	230
110	241
110	247
110	266
110	SRC
110	269
110	STAT2
110	270
110	STAT5B
110	TGFB1
110	278
110	297
110	298
FZD1	WNT5A
FZD4	WNT5A
FZR1	CDC25C
FZR1	131
113	230
113	241
114	17
114	166
114	PLD2
GAS1	HIP1
GAS1	166
GAS1	215
GIPC	7
GIPC	64
GIPC	81
GIPC	95
GIPC	FZD1
GIPC	ITGA6
GIPC	PRKCA
GIPC	217
GIT1	117
GIT1	146
GIT1	159
GIT1	181
GJA1	LYN
116	ERBB2
116	110
116	140
116	LYN
116	269
116	STAT5B
117	52
117	GRB10
117	140
117	LYN
117	MET
117	NCK2
117	191
117	PRKCA
117	201
117	211
117	212
117	217
117	223
117	230
117	247
117	SRC
117	269
117	STAT2
117	270
117	STAT5B
117	298
GRB10	ABL1
GRB10	140
GRB10	LYN
GRB10	MET
GRB10	NCK2
GRB10	191
GRB10	211
GRB10	SRC
GRB10	269
GRB10	270
GRB10	STAT5B
118	270
120	226
121	87
121	123
121	255
HD	HDAC1
HD	144
HD	SMAD3
HD	269
HD	298
HDAC1	14
HDAC1	122
HDAC1	123
HDAC1	144
HDAC1	169
HDAC1	185
HDAC1	PML
HDAC1	230
HDAC1	SMAD3
HDAC1	SMARCE1
HDAC1	267
HDAC1	268
HDAC1	269
HDAC1	STAT2
HDAC1	STAT5B
HDAC1	282
HDAC1	300
122	156
122	158
122	159
122	230
122	267
122	269
122	STAT2
122	STAT5B
122	282
123	137
124	129
124	130
124	131
124	132
124	142
124	LYN
124	166
124	NCOA3
124	269
124	STAT5B
124	TCF12
HGS	140
HGS	146
HGS	PRKACA
HGS	222
HGS	SMAD1
HGS	SMAD3
HGS	260
HGS	STK11
HIP1	ABL1
HIP1	64
HIP1	67
HIP1	EPS15
HIP1	SRC
HIP1	298
HIPK2	SMAD3
HIPK2	272
126	11
126	CBL
126	CDC37
126	COPS3
126	70
126	HDAC1
126	122
126	128
126	156
126	181
126	230
126	269
126	STAT5B
126	STUB1
126	271
126	272
127	13
127	128
127	KPNA6
127	156
127	181
127	RUVBL1
127	271
128	14
128	64
128	LYN
128	181
128	201
128	222
128	269
128	STAT5B
128	STUB1
128	298
129	130
129	131
129	132
130	131
130	MITF
130	166
130	NCOA3
131	132
131	MITF
131	166
131	NCOA3
131	TCF12
132	TCF12
133	39
133	FAF1
133	106
133	110
133	HDAC1
133	122
133	144
133	PCAF
133	199
133	PRKACA
133	230
133	267
133	269
133	270
133	STAT5B
134	CSNK1A1
135	70
135	73
135	144
135	230
135	SMAD3
135	269
137	195
137	239
137	241
137	WDR12
140	ABL1
140	LYN
140	MET
140	NCK2
140	191
140	211
140	212
140	247
140	SRC
140	269
140	STAT2
140	270
140	STAT5B
140	298
JNK1	106
JNK1	SMAD1
JNK1	SMAD3
JNK1	269
JNK1	STAT5B
142	119
142	MITF
142	PRKACA
142	230
142	SMAD1
142	SMAD3
142	269
144	14
144	KPNA6
144	146
144	NCOA3
144	181
144	PCAF
144	PIK3CD
144	222
144	230
144	SMAD3
144	268
144	269
144	STAT2
144	282
144	VDR
145	KPNA6
145	222
KPNA6	13
KPNA6	146
KPNA6	222
KPNA6	259
KPNA6	STAT5B
KPNA6	282
146	ABL1
146	152
146	181
146	222
146	239
146	258
146	269
146	TRAF2
150	148
147	148
147	SFN
148	RIPK1
152	NCOA3
152	205
152	222
152	239
152	241
152	SMAD3
152	282
LYN	ABL1
LYN	MET
LYN	NCK2
LYN	PIK3CD
LYN	191
LYN	PLD2
LYN	PRKCA
LYN	211
LYN	212
LYN	247
LYN	266
LYN	SRC
LYN	269
LYN	STAT2
LYN	270
LYN	STAT5B
LYN	TGFB1
LYN	278
MAML1	CCND1
MAML1	76
MAML1	124
MAML1	175
MAML1	176
MAML1	189
MAML1	261
MAML1	282
MAP1B	PLD2
MAP3K4	52
MAP3K4	DVL1
MAP3K4	FLNA
MAP3K4	PRKCA
MAP3K4	PRKCB
MAP3K4	217
156	ATF2
156	52
156	150
156	MITF
156	NCOA3
156	170
156	217
156	230
156	247
156	SMAD3
156	269
156	270
156	274
156	282
158	159
158	269
158	TFDP1
159	TFDP1
159	TRAF2
161	7
161	52
161	124
161	156
161	SMAD3
161	WNT5A
MEK2	156
MEK3	ATF2
MEK3	MAP3K4
MEK3	156
MEK3	170
MEK3	PKN1
MEK3	217
MEK3	RIPK1
MEK3	274
MEK3	282
MET	ABL1
MET	14
MET	NCK2
MET	191
MET	222
MET	247
MET	SRC
MET	269
MET	270
MET	STAT5B
MET	298
162	238
162	239
162	240
162	241
162	242
162	296
MITF	166
MITF	NCOA3
163	106
163	142
163	156
163	170
163	217
163	252
163	282
166	NCOA3
NCK2	ABL1
NCK2	191
NCK2	211
NCK2	SMAD1
NCK2	SMAD3
NCK2	SRC
NCK2	269
NCK2	270
NCK2	STAT5B
NCK2	TGFB1
NCK2	298
NFKB2	7
NFKB2	17
NFKB2	34
NFKB2	CCND1
NFKB2	170
NFKB2	230
NFKB2	267
NFKB2	TRAF2
NGAP	7
NGAP	CAV2
NGAP	56
NGAP	81
NGAP	HRAS
NGAP	NFKB2
172	7
172	CASP2
172	FADD
172	128
172	170
172	NFKB2
172	230
172	RIPK1
172	267
172	282
172	TRAF2
173	7
173	170
173	NFKB2
173	230
173	TRAF2
175	176
175	SMAD3
178	30
178	36
178	106
178	122
178	123
178	NCOA3
178	169
178	170
178	230
178	255
178	267
178	270
178	STAT5B
178	282
NSMAF	GRB10
NSMAF	MAP3K4
NSMAF	TRAF2
181	EPS15
181	ERBB2
181	223
P204	LYN
184	195
PAK1	7
PAK1	39
PAK1	FLNA
PAK1	GIT1
PAK1	GRB10
PAK1	117
PAK1	NCK2
PAK1	213
PAK1	217
PAK1	234
185	73
185	78
185	146
PCAF	SMAD1
PCAF	SMAD3
PCAF	255
PCAF	269
PCAF	STK11
PCAF	TRAF2
PEN2	15
PEN2	17
PEN2	76
PEN2	175
PEN2	176
188	271
189	NCOA3
189	PIK3CD
189	SMAD3
189	268
189	269
189	STAT5B
189	272
PIAS3	SMAD1
PIAS4	SMAD3
PIAS4	258
PIAS4	STAT5B
PIAS4	271
PIK3CD	SMAD3
PIK3CD	269
191	ABL1
191	211
191	SMAD1
191	SMAD3
191	SRC
191	269
191	270
191	STAT5B
191	298
PITPN	ARRB2
PITPN	37
PITPN	67
PKN1	14
PKN1	230
PLD2	217
PLD2	SMAD3
197	198
197	STAT5B
199	269
199	270
199	STAT5B
PRKACA	29
PRKACA	76
PRKACA	119
PRKACA	200
PRKACA	PRKCA
PRKACA	230
PRKCA	SRC
PRKCA	STAT5B
PRKCB	GJA1
PRKCB	140
PRKCB	PRKCA
PRKCB	234
203	PSMD4
205	206
205	207
205	209
205	PSMD3
205	PSMD4
205	210
206	207
206	209
206	PSMD4
206	210
207	64
207	209
207	PSMD3
207	PSMD4
207	210
PSMD3	COPS3
PSMD3	209
PSMD3	PSMD4
PSMD3	210
PSMD4	209
PSMD4	210
PSMD4	230
PSMD4	272
PSMD4	TRAF2
210	209
209	11
209	203
211	ABL1
211	247
211	SRC
211	269
211	STAT2
211	270
211	STAT5B
212	14
212	200
212	SRC
212	269
212	STAT5B
212	STUB1
212	298
216	7
216	18
216	42
216	76
216	96
216	156
215	96
217	SMAD3
218	110
218	117
218	HRAS
218	NSMAF
218	PRKCA
218	PRKCB
218	239
218	243
218	246
218	247
218	SRC
219	170
219	230
219	267
219	282
RAIDD	CASP2
RAIDD	82
RAIDD	FADD
RAIDD	GRB10
RAIDD	170
RAIDD	RIPK1
RAIDD	282
RAIDD	TRAF2
220	ABL1
220	52
220	70
220	110
220	140
220	LYN
220	164
220	217
220	RALB
220	222
220	234
222	HDAC1
222	223
222	230
222	271
224	46
224	57
224	197
224	198
225	57
225	197
RB	FHL2
227	230
227	267
228	73
228	74
228	104
228	HDAC1
228	122
228	124
228	MAML1
228	170
228	175
228	176
228	261
228	268
229	ANAPC2
229	ZNF259
230	201
230	SMAD3
230	267
230	SRC
230	269
230	270
230	STAT5B
230	282
233	40
233	FADD
233	FHL2
233	SMARCE1
234	200
234	SMAD1
234	SMAD3
234	TGFB1
RIP2	7
RIP2	52
RIP2	211
RIP2	217
RIP2	234
RIP2	SRC
RIPK1	NFKB2
RIPK1	269
RIPK1	TRAF2
235	54
235	119
235	170
235	PRKCA
235	PRKCB
235	300
236	291
237	195
237	196
237	197
237	198
239	241
240	241
244	99
SAM68	CBL
SAM68	47
SAM68	67
SAM68	70
SAM68	110
SAM68	GRB10
SAM68	117
SAM68	LYN
SAM68	191
SAM68	PRMT1
SAM68	SRC
SAM68	270
SAP97	54
SAP97	SRC
SAP97	293
SCF	15
SCF	34
SCF	76
SCF	78
SCF	102
SCF	119
SCF	229
SCF	251
SCF	252
SCF	292
SF1	14
SF1	201
247	SRC
249	7
249	ERBB2
249	110
249	117
249	HRAS
249	140
249	MET
249	191
249	211
249	213
249	269
249	270
SINK	7
SINK	ATF2
SINK	199
SINK	230
251	34
251	44
251	54
251	58
251	76
251	102
251	170
251	205
251	229
251	252
SMAD1	COPS5
SMAD1	181
SMAD1	222
SMAD1	SMAD3
SMAD1	267
SMAD1	STUB1
SMAD1	TGFB1
SMAD1	278
SMAD1	282
SMAD1	VDR
SMAD1	297
SMAD3	NCOA3
SMAD3	181
SMAD3	201
SMAD3	222
SMAD3	267
SMAD3	268
SMAD3	269
SMAD3	STAT2
SMAD3	270
SMAD3	STUB1
SMAD3	TGFB1
SMAD3	278
SMAD3	282
SMAD3	291
SMAD3	VDR
256	CCND1
256	58
256	HDAC1
256	166
256	169
256	255
256	257
256	258
256	SMARCE1
256	282
256	297
257	108
257	HDAC1
257	122
257	123
257	169
257	PCAF
257	255
257	VDR
258	255
258	257
SMRT	73
SMRT	169
261	57
261	166
261	175
261	176
261	227
261	SMAD3
261	VDR
SNX1	EPS15
SNX1	HGS
SNX1	217
SNX1	262
SNX1	264
263	ABL1
263	7
263	57
263	70
263	110
263	140
263	LYN
263	RIPK1
263	SRC
264	140
266	STAT5B
267	268
267	STAT2
267	270
267	272
268	269
SPRY2	LRP1
SRC	14
SRC	269
SRC	STAT2
SRC	270
SRC	STAT5B
SRC	298
STAMBPL1	64
STAMBPL1	COPS5
STAMBPL1	117
269	ABL1
269	NCOA3
269	185
269	217
269	222
269	STAT2
269	270
269	STAT5B
269	282
269	VDR
STAT2	ABL1
STAT2	270
STAT2	STAT5B
270	CCND1
270	166
270	PIAS3
270	217
STAT5B	ABL1
STAT5B	181
STAT5B	217
STAT5B	270
STAT5B	TGFB1
STAT5B	VDR
STUB1	TGFB1
271	255
271	272
271	ZNF259
T2BP	DVL2
T2BP	170
T2BP	TRAF2
274	HIPK2
274	169
274	170
274	174
274	RIPK1
274	278
274	TRAF2
TAK1	274
TAK1	TRAF2
TAK1	VDR
TFDP2	CDC25C
TGFB1	222
TGFB1	TGFB3
TGFB1	278
280	FAF1
280	123
TIP1	76
TNFR1	CASP2
TNFR1	39
TNFR1	FADD
TNFR1	140
TNFR1	170
TNFR1	NSMAF
TNFR1	230
TNFR1	RIPK1
TNFR1	269
TNFR1	TRAF2
TNFR2	CSNK1A1
TNFR2	170
TNFR2	RIPK1
TNFR2	269
TNFR2	TRAF2
282	COPS5
282	181
282	222
TRAF2	181
TRAF2	298
TRUSS	15
TRUSS	17
TRUSS	76
TRUSS	166
TRUSS	169
TRUSS	229
TRUSS	RIPK1
TRUSS	TRAF2
TRUSS	290
287	39
287	GAS1
288	34
288	CBL
288	78
288	229
288	STUB1
288	271
288	293
289	188
289	199
289	222
293	HDAC1
293	159
293	226
293	245
293	282
293	290
293	291
293	292
295	CCND1
295	271
295	272
296	239
VDR	270
297	200
298	ABL1
298	14
298	67
298	217
298	247
298	SNX1
298	270
WNT5A	112
299	ABL1
299	43
299	70
299	77
299	110
299	LYN
299	156
299	217
299	SRC
300	185
301	RIPK1
301	270
301	292
302	230
302	RIPK1
