col1,col2
4EBP1,0.33356024506466986
AKT1,0.3993480032599837
CCND1,0.3954802259887006
EIF4E,0.33265444670739985
MAPK14,0.4096989966555184
PTEN,0.40032679738562094
TFDP1,0.2835648148148148
14-3-3-zeta,0.36786786786786785
CDC25A,0.408673894912427
CDC25B,0.3405142460041696
CSNK1A1,0.3105196451204056
CTNNB1,0.4363312555654497
FOXO4,0.3602941176470588
KRT18,0.37955073586367155
PIK3R1,0.320890635232482
PRKCA,0.408673894912427
RAF1,0.44144144144144143
RAN,0.408673894912427
A20,0.24475524475524477
G3BP2,0.3238598810310641
ABIN2,0.35871156661786235
FLNA,0.358974358974359
IKBKG,0.39740470397404704
LYN,0.4351687388987567
NFKB1,0.3831118060985145
RELA,0.4474885844748858
RIPK1,0.3923138510808647
STK11,0.33085752869682644
TAB2,0.3530259365994236
TRAF2,0.3858267716535433
ABL1,0.42832167832167833
APP,0.3651266766020864
BCAR1,0.4227782571182053
CCNA2,0.38013964313421256
CDC42,0.3951612903225806
CRK,0.38704581358609796
CRKL,0.43946188340807174
DOK1,0.38552321007081036
FOS,0.4336283185840708
FYN,0.47572815533980584
GRB2,0.4336283185840708
MYC,0.38013964313421256
NUP214,0.3659447348767737
PLCG1,0.3819173811379579
PLSCR1,0.31150667514303876
SHC1,0.3888888888888889
SRC,0.44263775971093045
TP53,0.43133802816901406
YAP1,0.300982800982801
ADAM10,0.3485064011379801
CD44,0.3766333589546503
CDH1,0.31633311814073595
EGFR,0.4156064461407973
FHL2,0.39074960127591707
FURIN,0.25857519788918204
JAG1,0.31450577663671375
NOTCH2,0.38013964313421256
NOTCH3,0.33063427800269907
PSEN1,0.3926282051282051
ADD1,0.37177541729893776
CSK,0.4398563734290844
CSNK1E,0.3579254930606282
FGR,0.4128053917438922
HIPK2,0.35025017869907077
JAK1,0.41245791245791247
JAK2,0.4648956356736243
PKN2,0.3651266766020864
PRKCZ,0.41350210970464135
TBK1,0.34458509142053445
AES,0.3695324283559578
CREBBP,0.481335952848723
CTBP1,0.39168665067945646
HDAC1,0.44504995458673935
LEF1,0.3749043611323642
PRMT1,0.2973300970873786
TLE1,0.2699724517906336
AIP4,0.362962962962963
ARRB1,0.2995110024449878
ARRB2,0.3651266766020864
HGS,0.3990228013029316
JUNB,0.392
KIT,0.4332449160035367
MET,0.3980503655564582
NUMB,0.2827466820542412
SH3GL2,0.30359355638166047
SMAD3,0.4738878143133462
CDC23,0.3749043611323642
NRAS,0.40731504571903576
STAT3,0.45036764705882354
STAT5B,0.4558139534883721
ANAPC4,0.3206806282722513
ANAPC5,0.3433777154870357
CCNB1,0.39869812855980474
CDC16,0.3712121212121212
CDC27,0.28128587830080365
FZR1,0.34507042253521125
PSMB5,0.2843876958792803
PSMC2,0.35714285714285715
PSMC3,0.3006134969325153
PSMD1,0.31349968010236723
PSMD12,0.3409881697981907
PSMD13,0.30191004313000613
SMAD2,0.4671115347950429
TGFB1,0.39106145251396646
AP2,0.31756318859364874
APC,0.4046242774566474
APH1A,0.3297442799461642
PSEN2,0.3545586107091172
APH2,0.3234323432343234
PRKCG,0.41350210970464135
APS,0.40630182421227196
CAMK2G,0.3147077713551702
CASP3,0.41455160744500846
CAV1,0.3662182361733931
CBLB,0.40032679738562094
EPOR,0.38704581358609796
ERBB2,0.4131534569983137
GRB10,0.3977272727272727
ITGB4,0.35
NCK2,0.40229885057471265
PIK3R2,0.4131534569983137
PTK2,0.38827258320126784
STAT1,0.4688995215311005
STAT2,0.40630182421227196
WASL,0.403957131079967
ARA54,0.32666666666666666
NCOA3,0.3926282051282051
NCOR1,0.33957033957033955
PIAS1,0.37347560975609756
SVIL,0.3592375366568915
UBE2D1,0.2887448438420743
UBE2L3,0.28604786923525977
ARA55,0.3843137254901961
GIT1,0.3626943005181347
PAK1,0.3695324283559578
PTPN12,0.3720577069096431
PXN,0.3064415259537211
RHOA,0.3675918979744936
TGFBR2,0.38013964313421256
TRAF4,0.28604786923525977
ARA70,0.3356164383561644
HRAS,0.330188679245283
ARAF1,0.3173575129533679
PRKCB,0.36082474226804123
PRKCD,0.33793103448275863
ARF4,0.28112449799196787
PLD2,0.37925696594427244
ARNIP,0.3188028627195836
DVL3,0.35175879396984927
ASCL1,0.2506393861892583
HEY1,0.2795208214489447
ATF1,0.3783783783783784
CAPN3,0.31715210355987056
HDAC2,0.42387543252595156
KPNA2,0.40229885057471265
TCF3,0.4110738255033557
YY1,0.3592375366568915
ATF3,0.3286384976525822
AXAM2,0.34004163775156143
AXIN1,0.39012738853503187
DVL1,0.3579254930606282
DVL2,0.3198433420365535
KPNB1,0.39325842696629215
NUP153,0.39740470397404704
PML,0.3475177304964539
SUMO1,0.32666666666666666
SUMO2,0.3198433420365535
JUP,0.3990228013029316
SMURF2,0.37576687116564417
BAG1,0.30510585305105853
HSPA8,0.39357429718875503
CASP8,0.3729071537290715
CDC2,0.3684210526315789
EPS15,0.3689759036144578
IQGAP2,0.36082474226804123
SNX2,0.32471835652750164
BCL3,0.330188679245283
RELB,0.38735177865612647
BCL7A,0.29932803909590716
PDCD2,0.23047977422389465
BP75,0.24426719840478564
TBP,0.3230059327620303
BPAG1,0.3284182305630027
HDAC6,0.3356164383561644
BPAG2,0.3310810810810811
CD151,0.2488572879634332
CTNND1,0.2934131736526946
ITGA6,0.2788844621513944
BRCA1,0.42869641294838146
CCNB2,0.3686982693754703
CDK4,0.3831118060985145
BTRC2,0.33356024506466986
BTRC,0.29201430274135876
CUL1,0.37037037037037035
FBXW7,0.2801600914808462
GLI1,0.2971497877501516
GSK3B,0.33793103448275863
RBX1,0.2984165651644336
SKP1,0.34727143869596033
SKP2,0.29411764705882354
CAMK2B,0.3530259365994236
CAMK2A,0.35277177825773937
CAMK2D,0.36649214659685864
MEF2A,0.3760552570990023
RPL8,0.35277177825773937
CASP7,0.3333333333333333
CASP9,0.38796516231195566
FADD,0.394524959742351
TRADD,0.39611964430072755
STUB1,0.3568827385287691
DAB2,0.37433155080213903
HD,0.384012539184953
SOS2,0.3288590604026846
VAV2,0.3372333103922918
CCNE1,0.38013964313421256
CDK7,0.3720577069096431
CEBPA,0.3819173811379579
E2F4,0.2873900293255132
ID2,0.36704119850187267
MCM7,0.34385964912280703
HES1,0.3819173811379579
PKN1,0.36731634182908546
RAC1,0.4107292539815591
RGS16,0.34146341463414637
CDKN1A,0.35277177825773937
ETS1,0.3964401294498382
ID3,0.3568827385287691
MCM5,0.3568827385287691
RBL2,0.35584604212055193
RPS11,0.26952695269526955
DYRK1A,0.36082474226804123
MMP7,0.2737430167597765
ITGB4BP,0.2998776009791922
PARD3,0.33265444670739985
VIM,0.37376048817696417
PRKACA,0.399673735725938
CDC34,0.33175355450236965
CDC37,0.33607681755829905
CDK6,0.34217877094972066
CTCF,0.27714932126696834
SIN3A,0.3372333103922918
FRAP1,0.2713178294573643
CHK,0.3230059327620303
