col1,col2
4EBP1,0.3068297655453619
AKT1,0.3810126582278481
EIF4E,0.30714285714285716
MAPK14,0.3934640522875817
14-3-3-zeta,0.3366890380313199
BAD,0.2956777996070727
CTNNB1,0.4140302613480055
KRT18,0.34321550741163054
PIK3R1,0.3034274193548387
RAN,0.3854033290653009
A20,0.2413793103448276
G3BP2,0.31784582893347413
ABIN2,0.31851851851851853
NFKB1,0.3757802746566791
RELA,0.42938659058487877
TAB2,0.3233082706766917
ADD1,0.33076923076923076
BTK,0.3914174252275683
CSK,0.40511440107671604
CSNK1E,0.3282442748091603
JAK1,0.3919270833333333
JAK2,0.43434343434343436
PKN2,0.33896396396396394
AIP4,0.3034274193548387
ARRB1,0.23369565217391305
EGFR,0.384418901660281
JUNB,0.37344913151364767
NUMB,0.24773662551440329
CCNA2,0.34959349593495936
CDC23,0.3570581257413998
FYN,0.45884146341463417
NRAS,0.37160493827160496
PRKCI,0.36887254901960786
PSEN1,0.36573511543134873
STAT3,0.4245416078984485
AML1,0.3000997008973081
CTCF,0.2872137404580153
HAT1,0.2390786338363781
NCOR1,0.3148535564853556
PPP2CA,0.3720642768850433
TBP,0.3264642082429501
ANAPC5,0.3195329087048832
SMAD2,0.4426470588235294
AP2,0.3031218529707956
APC,0.3743781094527363
CDH1,0.2874880611270296
APH1A,0.3112719751809721
APP,0.3366890380313199
NOTCH2,0.3240043057050592
NOTCH3,0.30935251798561153
PLD1,0.2766544117647059
APH2,0.30745658835546474
CRKL,0.39295039164490864
APPL2,0.3096707818930041
AKT2,0.2566069906223359
HDAC2,0.4174757281553398
HNF4A,0.3208955223880597
RBBP7,0.2540084388185654
ARA54,0.31224066390041494
PIAS1,0.3570581257413998
SVIL,0.32575757575757575
UBE2D1,0.25062447960033307
UBE2E1,0.25422297297297297
UBE2L3,0.27793167128347185
ARA55,0.35748218527315917
CRK,0.3720642768850433
FOS,0.39295039164490864
NCOA2,0.33370288248337027
PTK2,0.36797066014669927
PTPN12,0.35537190082644626
PXN,0.2939453125
RHOA,0.3268186753528773
TGFBR2,0.3635265700483092
TRAF4,0.2635726795096322
ARA70,0.31386861313868614
ARA160,0.29538763493621195
SMARCA4,0.3065173116089613
ARAF1,0.2766544117647059
ARNIP,0.2546531302876481
CAV1,0.3397291196388262
ATF1,0.36484848484848487
CAPN3,0.31191709844559584
CTBP1,0.36977886977886976
KPNA2,0.39295039164490864
STAT1,0.45606060606060606
TCF3,0.39762219286657857
YY1,0.3436073059360731
ATF3,0.28262910798122065
FOSB,0.3006993006993007
BAG1,0.2974308300395257
HSPA8,0.37298636926889717
BP75,0.2728921124206709
CCNH,0.3378226711560045
BPAG1,0.31551362683438156
HDAC6,0.31386861313868614
CASP3,0.3819796954314721
CASP7,0.3198724760892667
CASP9,0.3635265700483092
CBLB,0.380050505050505
CDC2,0.35961768219832735
CDK2,0.4029451137884873
CDK7,0.37531172069825436
GRB2,0.38688946015424164
HES1,0.36797066014669927
PIK3R2,0.380050505050505
SHC1,0.36134453781512604
SOCS3,0.37625
SOCS5,0.32055378061767836
BTRC2,0.3222698072805139
BTRC,0.2670807453416149
CUL1,0.3378226711560045
FBXW7,0.2711711711711712
GLI2,0.262652705061082
GSK3B,0.31784582893347413
RBX1,0.26899016979445933
SKP1,0.33934611048478014
SKP2,0.27716390423572745
CAMK2D,0.33934611048478014
CREBBP,0.46236559139784944
RPL8,0.344
CD44,0.34011299435028247
IQGAP2,0.3436073059360731
PSMD12,0.3016032064128257
DAB2,0.3528722157092614
WASL,0.3739130434782609
CCNB1,0.36662606577344703
E2F4,0.265666372462489
ID2,0.35
MCM7,0.32365591397849464
SP1,0.38838709677419353
CDC42,0.3644067796610169
FOXO1A,0.37160493827160496
PSMC2,0.3397291196388262
RAC1,0.37484433374844334
TP53,0.4095238095238095
ITGB4BP,0.295968534906588
MCM5,0.3537015276145711
CDC16,0.34439359267734554
ANAPC10,0.2563884156729131
CDC27,0.26334208223972005
PARD3,0.2869399428026692
VIM,0.3706896551724138
CDKN1A,0.3240043057050592
CDK6,0.30714285714285716
FRAP1,0.2731397459165154
ID3,0.33370288248337027
CEACAM1,0.3087179487179487
CIAP1,0.32055378061767836
CYLD,0.24293785310734464
CIN85,0.309989701338826
AP2B1,0.25970664365832613
CIR,0.31650893796004204
SAP18,0.2535804549283909
SNW1,0.35495283018867924
CK2B,0.2661361626878868
CSNK1D,0.22395833333333334
MTIF2,0.2694717994628469
CLTC,0.3566350710900474
NUP153,0.3670731707317073
PAPOLA,0.3622141997593261
CREB,0.3311331133113311
JUND,0.3508158508158508
ETS1,0.37023370233702335
MYC,0.3524590163934426
SMAD4,0.3684210526315789
SNIP1,0.31650893796004204
CRM1,0.3743781094527363
NUP214,0.34011299435028247
PRKAR1A,0.2986111111111111
DCP1A,0.27564102564102566
IKBKAP,0.24773662551440329
DAXX,0.3508158508158508
SPEN,0.3557919621749409
CTBP2,0.3049645390070922
LEF1,0.3570581257413998
PSMD7,0.28078358208955223
DAAM1,0.2761467889908257
ARF4,0.2358934169278997
SIN3A,0.32717391304347826
DDEF1,0.2925170068027211
REPS2,0.28612167300380226
DDX3,0.30589430894308944
DSP,0.309989701338826
E3B1,0.3329646017699115
EPS8,0.3171759747102213
EBP1,0.33444444444444443
KPNA3,0.28942307692307695
RPL30,0.2520938023450586
RPL4,0.3065173116089613
EF1A,0.2561702127659575
UBE3A,0.31224066390041494
EIF3S2,0.2883141762452107
PSMD1,0.2911025145067698
FBL,0.2531539108494533
ELK1,0.3579072532699168
ENG,0.3268186753528773
