Name,Betweenness,Degree,Closeness,EigenValueC,Katz,ClusteringCoef,Label
4EBP1,0.0008648298242886,0.0079365079365079,0.3254132231404958,0.0025801870144572,-0.0113841566008331,0.0,0
AKT1,0.0133042041827751,0.065079365079365,0.405144694533762,0.0430144809555094,-0.0041169813782127,0.0756097560975609,1
CCND1,0.0110849547097791,0.0539682539682539,0.4038461538461538,0.0278852071429975,-0.1663034148076489,0.1105169340463458,1
EIF4E,0.0023335231976469,0.0126984126984126,0.3234086242299794,0.0027916601100108,0.0108615125477435,0.0357142857142857,1
MAPK14,0.0175886126257872,0.0619047619047619,0.4152933421226104,0.0304463336004405,-0.0240452942719695,0.1106612685560054,1
TFDP1,3.776219700678684e-05,0.0047619047619047,0.2834008097165992,0.0005325437513855,0.0018025578013879,0.3333333333333333,0
14-3-3-zeta,0.0020486776662737,0.0174603174603174,0.3664921465968586,0.0105532678343068,0.0197923659667321,0.109090909090909,0
BAD,0.0025259994127763,0.0206349206349206,0.3511705685618729,0.0122696697945198,0.0571860566581395,0.2435897435897435,0
CDC25A,0.015845839790709,0.0698412698412698,0.4106910039113429,0.0491156656939048,0.0109034611329821,0.1881606765327695,0
CDC25B,0.0007003364571088,0.0126984126984126,0.3442622950819672,0.0099688810969649,0.002604371260944,0.1428571428571428,0
CSNK1A1,0.0012676226139492,0.0158730158730158,0.3131212723658051,0.0016036995458526,-0.0126303525126937,0.1777777777777777,0
CTNNB1,0.0442856194176006,0.0857142857142857,0.4378040305767894,0.047154884043058,-0.2218037064289469,0.0796645702306079,1
KRT18,0.0135726135776995,0.0285714285714285,0.3779244151169766,0.0233254065297245,0.0556785839449895,0.1895424836601307,1
PIK3R1,0.0009458246387416,0.0206349206349206,0.3249097472924188,0.007166168360209,0.0055115179815724,0.0384615384615384,0
PRKCA,0.0132989478956509,0.0666666666666666,0.4133858267716535,0.0729809094191179,0.036454429624229,0.2067363530778165,0
RAF1,0.0279298392506991,0.119047619047619,0.4396371249127704,0.1238149323552129,0.1943824529939485,0.1906306306306306,1
RAN,0.0153244118120457,0.0571428571428571,0.4080310880829015,0.0376988142987639,0.0057937722900016,0.1396825396825396,0
A20,0.0,0.0015873015873015,0.2434312210200927,6.995785011251616e-05,0.0072267694254889,0.0,0
G3BP2,0.0037342099198781,0.0111111111111111,0.3215926493108729,0.0028379741119401,0.0043076401545214,0.0476190476190476,0
ABIN2,0.000445092693631,0.0126984126984126,0.3595890410958904,0.0081946400165938,-0.0155751395631381,0.2857142857142857,0
FLNA,0.0008098082388787,0.0174603174603174,0.358974358974359,0.0177112739665688,-0.013398328980107,0.2363636363636363,0
LYN,0.0218386310128829,0.1333333333333333,0.4362880886426593,0.1679432547260232,0.0119766808790144,0.2590361445783132,0
NFKB1,0.0131995976447486,0.065079365079365,0.3624856156501726,0.0096352046586323,-0.0744647306808078,0.0280487804878048,0
NFKB2,0.0053156132232952,0.0428571428571428,0.3736654804270463,0.0116681481314137,-0.0439202188794168,0.2136752136752136,0
RELA,0.0477733925485186,0.1126984126984127,0.4490377761938702,0.0724587629255188,-0.0103109107605537,0.1098591549295774,1
RIPK1,0.0107298522794838,0.0634920634920634,0.3942428035043804,0.0239466686383354,-0.0046339674221221,0.1538461538461538,0
TAB2,0.0057068120537518,0.0317460317460317,0.3624856156501726,0.0065428094115446,-0.0440845378432921,0.2473684210526315,0
TRAF2,0.0182289297462187,0.073015873015873,0.3935040599625234,0.0225251370269007,-0.0448754360444647,0.093719806763285,0
ABL1,0.0195630861838408,0.1126984126984127,0.4300341296928328,0.1485175681267088,-0.0886185381153505,0.2969818913480885,0
APP,0.0041725989511736,0.0253968253968253,0.3695014662756598,0.0233113440980217,-0.0323142981918161,0.15,0
BCAR1,0.0096779887329959,0.092063492063492,0.4242424242424242,0.126871923645606,-0.0131163767699055,0.3272837265577737,0
CCNA2,0.0074167912621732,0.0428571428571428,0.3876923076923076,0.0166809184614043,-0.1058911454701102,0.188034188034188,1
CDC42,0.0050545256095576,0.0507936507936507,0.3903345724907063,0.0435671970797593,-0.0065093473778,0.1491935483870967,1
CRK,0.0039648732470486,0.0634920634920634,0.3879310344827586,0.0997863664158221,-0.0379904150352472,0.4358974358974359,0
CRKL,0.0121808411167548,0.1142857142857142,0.4326923076923077,0.1599979769978482,-0.0139578110703174,0.3274647887323944,0
FOS,0.0224832061292687,0.0888888888888888,0.4350828729281768,0.0650833485158712,-0.0568389489672586,0.1629870129870129,1
FYN,0.0490030104039356,0.1809523809523809,0.4646017699115044,0.1943537902757593,0.0008019669370948,0.1845986648036019,0
GRB2,0.0185794433222807,0.1269841269841269,0.4309165526675786,0.1628664943558385,0.002804042617908,0.2841772151898734,0
JUN,0.0257426220184269,0.1047619047619047,0.4436619718309859,0.0814096311125335,0.0177580142424276,0.1641025641025641,1
MYC,0.0099219961506513,0.0444444444444444,0.369284876905041,0.0151596525460852,0.0280414327698969,0.074074074074074,0
NUP214,0.0012944952210084,0.0206349206349206,0.3705882352941176,0.0206716110658195,-0.0247053669536106,0.3333333333333333,0
