Name,Betweenness,Degree,Closeness,EigenValueC,Katz,ClusteringCoef,Label
4EBP1,0.0012829813885913,0.0109090909090909,0.3331314354936402,0.0040637695412638,0.0310758048513785,0.0,0
AKT1,0.0125074512929415,0.0654545454545454,0.4119850187265917,0.0469150391506167,0.1366703471440921,0.0984126984126984,1
CCND1,0.0084565123776002,0.0472727272727272,0.4,0.0276903643693673,-0.0140787942644823,0.1384615384615384,1
EIF4E,0.0022069645715676,0.0127272727272727,0.3285543608124253,0.0028460880266988,0.0219781321478028,0.0,1
MAPK14,0.0170235615869324,0.0636363636363636,0.4185692541856925,0.0310454264770091,0.0156468556366465,0.1126050420168067,1
PTEN,0.0104183504144578,0.0436363636363636,0.4005826656955571,0.0468090020047402,0.0603426407186685,0.2210144927536232,1
TFDP1,3.119346783037179e-05,0.0054545454545454,0.2840909090909091,0.0005904784222059,-0.0020084143430705,0.3333333333333333,0
14-3-3-zeta,0.0020922365472406,0.02,0.364963503649635,0.0124984261294522,0.0596514061936521,0.0727272727272727,0
BAD,0.0019965944761508,0.0127272727272727,0.3399258343634116,0.0092489312159871,0.074492167900489,0.3333333333333333,0
CDC25B,0.0001682382008209,0.0109090909090909,0.3401360544217687,0.0097901214878745,-0.020187287023764,0.2,0
CSNK1A1,0.00122365614686,0.0163636363636363,0.3164556962025316,0.001923873638525,0.0355833612044022,0.2222222222222222,0
CTNNB1,0.0340773797570554,0.0890909090909091,0.4439063761097659,0.0580237344382858,-0.0488010136820523,0.1139455782312925,1
KRT18,0.0117246294950726,0.0254545454545454,0.3746594005449591,0.0231207281408551,0.0608547585448691,0.2087912087912088,1
MST1R,0.0026763333560654,0.0563636363636363,0.3953989935298346,0.1001064296973356,-0.0036527478255206,0.6516129032258065,0
PIK3R1,0.0012465555062784,0.0218181818181818,0.3269916765755054,0.0080804115228463,0.045437861536873,0.0454545454545454,0
PRKCA,0.0110001770943814,0.0618181818181818,0.4107542942494399,0.0684771112215192,0.0778590369811747,0.2245989304812834,1
RAF1,0.0262441055749093,0.109090909090909,0.4417670682730923,0.1169199215770873,0.1088120968153314,0.2152542372881355,1
RAN,0.0137915338180228,0.0563636363636363,0.407709414381023,0.0368646915513328,0.037238198866499,0.1634408602150537,0
A20,0.0,0.0018181818181818,0.2458649977648636,7.825032082080538e-05,0.012463858687427,0.0,0
G3BP2,0.0041793471121276,0.0109090909090909,0.3258293838862559,0.0030018786916192,0.0324313054001429,0.0,0
ABIN2,0.0011840817197598,0.0218181818181818,0.3613666228646517,0.0089371470695249,-0.0271882729650829,0.1818181818181818,0
FLNA,0.0007354738077,0.02,0.3664223850766155,0.0205930434314503,-0.0261954898813073,0.2545454545454545,0
IKBKG,0.0073734209803137,0.0527272727272727,0.3982621288921071,0.02674605405885,-0.0509319651509306,0.1108374384236453,0
LYN,0.0190561028914237,0.1218181818181818,0.4347826086956521,0.1556307756270646,-0.0794086366667796,0.3102668475802804,0
NFKB1,0.012958879991455,0.0654545454545454,0.3917378917378917,0.0130622902408923,-0.0270012297018092,0.0365079365079365,0
NFKB2,0.0102369296167647,0.0563636363636363,0.39568345323741,0.0210674895127983,0.0137376483597157,0.2150537634408602,0
REL,0.0012592879361762,0.0236363636363636,0.3418272218769422,0.0061356245537165,0.0533563491013986,0.2179487179487179,1
FHL2,0.0114922448058938,0.0381818181818181,0.4,0.0205467540413422,-0.0393506183806918,0.1333333333333333,0
RIPK1,0.0092668121846115,0.069090909090909,0.3997093023255814,0.0275306662175727,-0.0559095222474811,0.1806543385490754,0
STK11,9.327029308444912e-05,0.009090909090909,0.3357753357753357,0.0080204022588565,0.0214769033884737,0.2,1
TAB2,0.0063603582648408,0.0418181818181818,0.3706199460916442,0.009310502542077,-0.0359049495381423,0.2213438735177865,0
TNF,0.0081981221125433,0.0545454545454545,0.3749147920927062,0.0115545068860194,-0.0367304767737533,0.0942528735632183,1
TRAF2,0.013199571444293,0.069090909090909,0.3965392934390771,0.0226532817860804,-0.1012280236336501,0.1351351351351351,0
ABL1,0.0141053426313774,0.1018181818181818,0.4283489096573208,0.1373205020698774,-0.0932262573947731,0.3564935064935065,1
APP,0.0038124766332328,0.0254545454545454,0.3721244925575101,0.024266665264323,-0.0004924744046373,0.1648351648351648,0
BCAR1,0.0041099611863571,0.0818181818181818,0.4204892966360856,0.1179479216976311,0.0105975136256686,0.3919191919191919,0
CBL,0.0118814666480395,0.1145454545454545,0.4323899371069182,0.1548163618752095,-0.0263970149772722,0.3625192012288786,0
